CELL1,CELL2,CELL3,CELL4,CELL5,CELL6,CELL7,CELL8,CELL9,CELL10,CELL11,CELL12,CELL13,CELL14,CELL15,CELL16,CELL17,CELL18,CELL19,CELL20,CELL21,CELL22,CELL23,CELL24,CELL25,CELL26,CELL27,CELL28,CELL29,CELL30,CELL31,CELL32,CELL33,CELL34,CELL35,CELL36,CELL37,CELL38,CELL39,CELL40,CELL41,CELL42,CELL43,CELL44,CELL45,CELL46,CELL47,CELL48,CELL49,CELL50,CELL51,CELL52,CELL53,CELL54,CELL55,CELL56,CELL57,CELL58,CELL59,CELL60,CELL61,CELL62,CELL63,CELL64
3.283623,3.364943,3.390553,0.7834794,3.380379,3.379512,3.379586,3.361627,3.374968,3.358598,3.319345,3.370388,3.355292,3.384441,3.271955,3.239423,3.34262,3.34698,3.383467,3.395718,3.371974,3.289553,3.360372,3.36797,3.374422,3.372778,3.327882,3.315258,3.382128,3.187977,3.351601,3.234161,3.352109,3.34077,3.400108,0.4191254,3.328395,3.378054,3.351613,3.376906,3.248773,3.333547,3.266104,3.377991,3.381808,3.387709,3.345334,3.334854,3.372835,3.267511,3.39624,3.385734,3.365858,3.371099,3.254533,3.366525,3.377512,3.372732,3.340627,3.338898,3.391331,3.386272,3.22666,3.350639
3.283625,3.364943,3.390555,0.7834807,3.380381,3.379511,3.379589,3.361628,3.374967,3.358601,3.319346,3.370391,3.355298,3.384442,3.271955,3.239421,3.342617,3.346979,3.383468,3.395718,3.371976,3.289554,3.360369,3.367969,3.374423,3.372777,3.327883,3.315258,3.38213,3.187973,3.351598,3.234158,3.352109,3.340771,3.400107,0.4191252,3.328394,3.378053,3.351611,3.376907,3.248765,3.333551,3.266101,3.377991,3.381809,3.387709,3.345337,3.334854,3.37283,3.267512,3.396241,3.385732,3.36586,3.371101,3.254535,3.366522,3.377511,3.372734,3.340628,3.338894,3.39133,3.38627,3.226662,3.350641
3.283626,3.364944,3.390554,0.7834818,3.380379,3.379512,3.37959,3.361629,3.374968,3.358601,3.319344,3.37039,3.355292,3.38444,3.271955,3.239418,3.342616,3.34698,3.383469,3.395717,3.371977,3.289548,3.360372,3.367968,3.37442,3.372777,3.327883,3.315258,3.382125,3.187974,3.351598,3.234157,3.352108,3.340768,3.400107,0.4191243,3.328392,3.378053,3.35161,3.376906,3.248764,3.333551,3.266101,3.37799,3.381808,3.387706,3.345337,3.334856,3.372832,3.26751,3.396242,3.385731,3.365859,3.3711,3.254534,3.366523,3.377512,3.37273,3.340624,3.338899,3.391331,3.386271,3.226661,3.350641
3.283626,3.364944,3.390555,0.783484,3.380384,3.379512,3.37959,3.361628,3.374966,3.358598,3.319347,3.370387,3.355293,3.38444,3.271952,3.239418,3.342615,3.346979,3.383468,3.395716,3.371975,3.289551,3.360371,3.367966,3.374423,3.372776,3.327882,3.315256,3.382128,3.187974,3.351599,3.234157,3.35211,3.34077,3.400107,0.4191267,3.328394,3.378055,3.351612,3.376906,3.248762,3.333551,3.266103,3.377991,3.381809,3.387709,3.345337,3.334856,3.372832,3.267511,3.396241,3.385733,3.365857,3.371099,3.254532,3.366525,3.377511,3.372732,3.340622,3.338893,3.391332,3.386273,3.22666,3.350639
3.283625,3.364942,3.390551,0.7834844,3.380381,3.379508,3.37959,3.361624,3.374964,3.358599,3.319342,3.370389,3.355292,3.384438,3.271954,3.239416,3.342618,3.346981,3.383467,3.395716,3.371979,3.289548,3.360367,3.367964,3.374419,3.372776,3.327881,3.315253,3.382128,3.187974,3.351598,3.234156,3.352109,3.340768,3.400106,0.419126,3.328393,3.378053,3.351609,3.376902,3.24876,3.333546,3.266102,3.377989,3.38181,3.387706,3.345336,3.334856,3.37283,3.26751,3.39624,3.385733,3.365858,3.371101,3.254529,3.36652,3.377511,3.372729,3.340624,3.338894,3.391332,3.386271,3.226661,3.350638
3.283624,3.364941,3.390552,0.7834846,3.380381,3.379508,3.379589,3.361623,3.374964,3.358597,3.319344,3.370387,3.355293,3.384438,3.271954,3.239417,3.342609,3.346978,3.383468,3.395715,3.371976,3.289548,3.360371,3.367959,3.374419,3.372776,3.32788,3.315253,3.382128,3.187972,3.351595,3.234157,3.352109,3.340767,3.400107,0.4191274,3.328392,3.378054,3.351608,3.376903,3.248758,3.333548,3.266099,3.377991,3.381809,3.387708,3.345336,3.334856,3.372828,3.267509,3.396241,3.385731,3.365855,3.371099,3.254531,3.366522,3.37751,3.37273,3.340624,3.338895,3.39133,3.386272,3.22666,3.35064
3.283624,3.364943,3.390552,0.7834853,3.380379,3.37951,3.379589,3.361623,3.374963,3.358599,3.319342,3.370389,3.355292,3.384441,3.271952,3.239417,3.342613,3.346978,3.383468,3.395717,3.371972,3.289543,3.360368,3.367959,3.374417,3.372775,3.327882,3.315252,3.382127,3.187971,3.351595,3.23416,3.352108,3.340769,3.400106,0.4191283,3.32839,3.378051,3.351606,3.376902,3.248753,3.333545,3.266096,3.37799,3.381808,3.387707,3.345334,3.334856,3.372827,3.267507,3.39624,3.38573,3.365856,3.371099,3.254529,3.36652,3.37751,3.372728,3.340619,3.338892,3.391331,3.38627,3.226659,3.350639
3.283623,3.364944,3.390553,0.7834888,3.380381,3.37951,3.379587,3.361622,3.374963,3.358596,3.319343,3.370389,3.355292,3.38444,3.271954,3.239417,3.342614,3.346978,3.383467,3.395718,3.371972,3.289545,3.360368,3.367962,3.374417,3.372773,3.327879,3.315252,3.382126,3.187974,3.351595,3.23416,3.352108,3.340766,3.400106,0.4191292,3.328389,3.378052,3.351606,3.376901,3.248752,3.333544,3.266097,3.377989,3.381808,3.387708,3.345335,3.334858,3.372829,3.267507,3.396238,3.38573,3.365855,3.371098,3.254526,3.366518,3.37751,3.372726,3.340621,3.33889,3.39133,3.38627,3.226655,3.350635
3.283622,3.364939,3.390551,0.7834902,3.380379,3.379509,3.379588,3.36162,3.374962,3.358592,3.319342,3.370388,3.35529,3.384439,3.271952,3.239415,3.342612,3.346977,3.383463,3.395718,3.371973,3.289542,3.360363,3.367957,3.374413,3.37277,3.327881,3.315249,3.382125,3.187971,3.351595,3.234159,3.352106,3.340764,3.400106,0.419128,3.328386,3.37805,3.351604,3.3769,3.248749,3.333543,3.266096,3.377988,3.381807,3.387706,3.345335,3.334856,3.372827,3.267506,3.39624,3.38573,3.365854,3.371097,3.254527,3.366518,3.37751,3.372727,3.340621,3.338887,3.391331,3.386269,3.226655,3.350635
3.283622,3.364941,3.390553,0.7834908,3.380379,3.379507,3.379588,3.361619,3.374963,3.358593,3.31934,3.370387,3.355288,3.384439,3.27195,3.239416,3.342612,3.346978,3.383465,3.395718,3.371969,3.289542,3.360364,3.367955,3.37441,3.372771,3.327875,3.315247,3.382125,3.187971,3.351593,3.234157,3.352104,3.340765,3.400104,0.4191289,3.328387,3.378051,3.351603,3.376899,3.248747,3.333539,3.266093,3.377989,3.381805,3.387706,3.345333,3.334856,3.372826,3.267504,3.396238,3.38573,3.365853,3.371097,3.254525,3.366517,3.377508,3.372727,3.340621,3.338887,3.39133,3.386269,3.226656,3.350636
3.283601,3.364927,3.390544,0.7835533,3.380364,3.379491,3.379573,3.361557,3.374931,3.358546,3.319287,3.370373,3.355255,3.384425,3.271914,3.239384,3.34258,3.346964,3.383452,3.395703,3.371947,3.28948,3.360324,3.367885,3.374373,3.372744,3.327818,3.315188,3.382108,3.187934,3.351573,3.234146,3.352089,3.34073,3.400096,0.4191506,3.328344,3.378036,3.351551,3.376877,3.248632,3.333471,3.266044,3.377981,3.381798,3.387703,3.345319,3.33486,3.372806,3.267456,3.396225,3.38571,3.365825,3.371079,3.254464,3.366487,3.377496,3.372702,3.340572,3.338848,3.391317,3.386261,3.226613,3.350606
3.283604,3.364927,3.390544,0.783555,3.380366,3.379489,3.379573,3.361558,3.374935,3.358546,3.319285,3.37037,3.355247,3.384426,3.271917,3.239382,3.342578,3.346963,3.383455,3.395705,3.371946,3.289479,3.360318,3.367884,3.374372,3.372745,3.327816,3.315191,3.382108,3.187932,3.351572,3.234147,3.352087,3.340731,3.400097,0.4191521,3.328345,3.378032,3.351554,3.376878,3.248631,3.33347,3.266042,3.377976,3.381795,3.387701,3.345318,3.334861,3.372804,3.267456,3.396226,3.38571,3.365819,3.371079,3.254463,3.366485,3.377494,3.372702,3.340572,3.338848,3.391318,3.386261,3.226612,3.350606
3.283602,3.364928,3.390544,0.7835575,3.380364,3.37949,3.379575,3.361559,3.374934,3.358547,3.319286,3.370371,3.355253,3.384428,3.271916,3.239385,3.342579,3.34696,3.383454,3.395706,3.371945,3.289477,3.36032,3.367886,3.374371,3.372747,3.327815,3.31519,3.382107,3.187933,3.351574,3.234147,3.352088,3.34073,3.400096,0.4191521,3.328343,3.378031,3.351554,3.376879,3.248631,3.333469,3.266037,3.377977,3.3818,3.387701,3.34532,3.334861,3.37281,3.267455,3.396226,3.385709,3.365822,3.371076,3.254466,3.366487,3.377497,3.372702,3.340571,3.338845,3.39132,3.386263,3.226612,3.350606
3.283602,3.364927,3.390545,0.7835593,3.380366,3.379488,3.379572,3.361559,3.374933,3.358547,3.319286,3.370371,3.355251,3.384426,3.271916,3.239382,3.342576,3.346963,3.383453,3.395705,3.371945,3.289479,3.36032,3.367885,3.374373,3.372744,3.327815,3.31519,3.38211,3.18793,3.351573,3.234146,3.352089,3.34073,3.400097,0.4191524,3.328343,3.378031,3.351552,3.376877,3.248626,3.333468,3.266041,3.377977,3.381799,3.3877,3.345319,3.334861,3.372805,3.267453,3.396224,3.385711,3.365817,3.371077,3.254465,3.366487,3.377496,3.372699,3.340569,3.338845,3.391318,3.386261,3.226613,3.350605
3.283603,3.364924,3.390543,0.7835606,3.380364,3.379488,3.379574,3.361558,3.374932,3.358545,3.319283,3.370374,3.35525,3.384424,3.271913,3.239384,3.342575,3.346962,3.383454,3.395704,3.371947,3.289475,3.360318,3.367883,3.374371,3.372744,3.327813,3.315187,3.382107,3.18793,3.351572,3.234146,3.352087,3.340729,3.400096,0.4191519,3.328342,3.378033,3.351554,3.376876,3.248626,3.333466,3.266041,3.377979,3.381798,3.387703,3.345317,3.334861,3.372808,3.267448,3.396223,3.385708,3.365818,3.371075,3.254461,3.366486,3.377495,3.372701,3.34057,3.338842,3.391318,3.386259,3.226608,3.350605
3.283602,3.364925,3.390544,0.7835619,3.380365,3.379488,3.379574,3.361556,3.374934,3.358544,3.319282,3.370371,3.355248,3.384426,3.27191,3.23938,3.342576,3.346963,3.383454,3.395703,3.371942,3.289474,3.360318,3.367884,3.37437,3.372746,3.327815,3.315184,3.382108,3.187931,3.351572,3.234146,3.352087,3.340729,3.400095,0.419153,3.328338,3.378031,3.351549,3.376877,3.248628,3.333468,3.266038,3.377982,3.381798,3.3877,3.345318,3.334858,3.372806,3.26745,3.396224,3.385708,3.365817,3.371079,3.25446,3.366483,3.377496,3.372699,3.340569,3.338841,3.391319,3.38626,3.226607,3.350603
3.283602,3.364925,3.390542,0.7835619,3.380364,3.379488,3.379572,3.361557,3.374932,3.358542,3.319282,3.370368,3.355248,3.384424,3.271913,3.239385,3.342574,3.346962,3.383454,3.395704,3.371944,3.289474,3.360319,3.367884,3.37437,3.372745,3.327811,3.315184,3.382105,3.187929,3.351573,3.234149,3.352085,3.340729,3.400095,0.4191542,3.328338,3.378032,3.35155,3.376876,3.248625,3.333463,3.266037,3.37798,3.381798,3.3877,3.345317,3.334857,3.372809,3.267447,3.396224,3.385707,3.365813,3.371075,3.254461,3.366485,3.377496,3.372701,3.340564,3.338839,3.391316,3.38626,3.226608,3.350604
3.2836,3.364925,3.390543,0.7835654,3.380363,3.379487,3.379571,3.361554,3.374931,3.358543,3.319283,3.37037,3.355244,3.384423,3.271912,3.239382,3.342576,3.346962,3.383454,3.395705,3.371944,3.289473,3.360316,3.367883,3.374369,3.372744,3.327811,3.315182,3.382106,3.187929,3.351572,3.234145,3.352088,3.340727,3.400095,0.4191533,3.328338,3.378031,3.351543,3.37688,3.248626,3.333466,3.266038,3.377979,3.381799,3.3877,3.345319,3.334859,3.372806,3.267445,3.396223,3.385704,3.365815,3.371073,3.254459,3.366482,3.377494,3.372697,3.340567,3.338838,3.391317,3.386259,3.226607,3.350604
3.283602,3.364926,3.390542,0.7835657,3.380365,3.379487,3.379575,3.36155,3.374931,3.35854,3.319279,3.370368,3.355245,3.384422,3.27191,3.239382,3.342575,3.346962,3.383454,3.395703,3.371943,3.289472,3.360319,3.367881,3.374371,3.372744,3.327808,3.31518,3.382106,3.18793,3.351569,3.234148,3.352086,3.340725,3.400095,0.4191538,3.328337,3.378032,3.351541,3.376878,3.248625,3.333464,3.266036,3.377977,3.381795,3.387701,3.345316,3.33486,3.372808,3.267444,3.396222,3.385703,3.36581,3.371072,3.254453,3.366481,3.377497,3.372698,3.340565,3.338834,3.391317,3.38626,3.226607,3.350601
3.283601,3.364924,3.390543,0.7835677,3.380362,3.379487,3.379571,3.361554,3.374928,3.35854,3.319278,3.370366,3.355247,3.384425,3.271909,3.23938,3.342573,3.346961,3.383453,3.395705,3.371942,3.28947,3.360315,3.367882,3.374368,3.372745,3.327806,3.315177,3.382105,3.187927,3.35157,3.234147,3.352086,3.340726,3.400094,0.4191564,3.328335,3.378033,3.351547,3.376876,3.248623,3.333461,3.266032,3.377979,3.381797,3.3877,3.345316,3.334862,3.372802,3.267442,3.396222,3.385702,3.365811,3.371068,3.254454,3.366481,3.377493,3.372696,3.34056,3.338833,3.391316,3.386257,3.226604,3.350601
